name,idx
Staphylococcus phage phiIPLA-RODI,1160
Staphylococcus phage phiSA_BS1,1161
Staphylococcus phage phiSA_BS2,1162
Staphylococcus phage vB_SauM_Remus,1163
Staphylococcus phage vB_SauM_Romulus,1164
Staphylococcus phage vB_SscM-1,1165
Enterococcus phage phiFL3A,1166
Lactobacillus prophage Lj965,1167
Lactococcus phage PLgT-1,1168
Oenococcus phage phi9805,1169
Prochlorococcus phage P-HM2,117
Oenococcus phage phiS11,1170
Oenococcus phage phiS13,1171
Staphylococcus phage DW2,1172
Staphylococcus phage StauST398-3,1173
Staphylococcus prophage phiPV83,1174
Streptococcus phage DCC1738,1175
Streptococcus phage phiARI0004,1176
Streptococcus phage phiARI0031,1177
Streptococcus phage phiARI0131-1,1178
Streptococcus phage phiARI0468-1,1179
Prochlorococcus phage P-RSM4,118
Lactobacillus phage LfeSau,1180
Lactobacillus phage PLE3,1181
Lactobacillus phage iLp84,1182
Staphylococcus phage 3 AJ-2017,1183
Staphylococcus phage B236,1184
Staphylococcus phage JS01,1185
Staphylococcus phage ROSA,1186
Staphylococcus phage SA780ruMSSAST101,1187
Staphylococcus phage SA97,1188
Staphylococcus phage StauST398-1,1189
Prochlorococcus phage P-SSM2,119
Staphylococcus phage StauST398-5,1190
Staphylococcus phage tp310-1,1191
Streptococcus phage T12,1192
Weissella phage WCP30,1193
Enterobacteria phage mEp235,1194
Brucella phage BiPBO1,1195
Paracoccus phage Shpa,1196
Rhizobium phage 16-3,1197
Rhodobacter phage RcapNL,1198
Brucella phage Tb,1199
Pseudomonas phage NP1,12
Prochlorococcus phage P-SSM4,120
Brucella phage Pr,1200
Idiomarinaceae phage Phi1M2-2,1201
Listonella phage phiHSIC,1202
Sulfitobacter phage NYA-2014a,1203
Sulfitobacter phage pCB2047-A,1204
Sulfitobacter phage pCB2047-C,1205
Burkholderia phage KS9,1206
Burkholderia phage Bcep176,1207
Burkholderia phage vB_BmuP_KL4,1208
Cronobacter phage ENT39118,1209
Prochlorococcus phage P-SSM7,121
Edwardsiella phage eiAU,1210
Edwardsiella phage eiAU-183,1211
Enterobacteria phage 2851,1212
Enterobacteria phage BP-4795,1213
Enterobacteria phage HK106,1214
Enterobacteria phage HK140,1215
Enterobacteria phage HK225,1216
Enterobacteria phage YYZ-2008,1217
Enterobacterial phage mEp390,1218
Escherichia phage ECP1,1219
Prochlorococcus phage P-TIM68,122
Escherichia phage HK75,1220
Escherichia phage JLK-2012,1221
Klebsiella phage phiKO2,1222
Psychrobacter phage Psymv2,1223
Stx2-converting phage 1717,1224
Enterobacteria phage 9g,1225
Enterobacteria phage JenK1,1226
Enterobacteria phage JenP1,1227
Enterobacteria phage JenP2,1228
Escherichia phage Seurat,1229
Prochlorococcus phage Syn1,123
Pantoea phage vB_PagS_Vid5,1230
Rhizobium phage RHEph04,1231
Rhizobium phage RHEph06,1232
Salmonella phage SE1 (in:Nonagvirus),1233
Burkholderia phage BcepSauron,1234
Burkholderia phage BcepSaruman,1235
Pseudomonas phage Lu11,1236
Pseudomonas phage PaBG,1237
Dickeya phage vB_DsoM_JA29,1238
Enterobacteria phage SfI,1239
Prochlorococcus phage Syn33,124
Burkholderia phage KS10,1240
Enterobacteria phage phiP27,1241
Escherichia phage D108,1242
Haemophilus phage SuMu,1243
Mannheimia phage vB_MhM_3927AP2,1244
Pseudomonas phage B3,1245
Pseudomonas phage H70,1246
Pseudomonas phage JBD24,1247
Pseudomonas phage JBD25,1248
Pseudomonas phage JBD30,1249
Pseudomonas phage pf16,125
