contig_id,proteins
Arthrobacter~phage~Mufasa8,104
Arthrobacter~phage~Peas,68
Arthrobacter~phage~Piccoletto,74
Arthrobacter~phage~Preamble,64
Arthrobacter~phage~PrincessTrina,112
Arthrobacter~phage~Pumancara,61
Arthrobacter~phage~Shade,77
Arthrobacter~phage~Sonali,99
Arthrobacter~phage~Sonny,77
Arthrobacter~phage~Tank,105
Arthrobacter~phage~TripleJ,82
Arthrobacter~phage~Wayne,63
Arthrobacter~phage~Yang,68
Arthrobacter~phage~Zartrosa,79
Arthrobacter~phage~vB_ArS-ArV2,68
Arthrobacter~phage~vB_ArtM-ArV1,101
Azospirillum~phage~Cd,95
Bacillus~phage~AR9,291
Bacillus~phage~Aurora,40
Bacillus~phage~AvesoBmore,301
Bacillus~phage~B4,277
Bacillus~phage~B5S,272
Bacillus~phage~BCD7,140
Bacillus~phage~BCJA1c,58
Bacillus~phage~BCP78,227
Bacillus~phage~BCP8-2,220
Bacillus~phage~BCU4,223
Bacillus~phage~BPS10C,271
Bacillus~phage~BPS13,268
Bacillus~phage~BSP38,254
Bacillus~phage~Bastille,273
Bacillus~phage~Bcp1,229
Bacillus~phage~BeachBum,30
Bacillus~phage~Belinda,295
Bacillus~phage~BigBertha,291
Bacillus~phage~Bobb,247
Bacillus~phage~Bp8p-C,211
Bacillus~phage~Bp8p-T,211
Bacillus~phage~BtCS33,57
Bacillus~phage~CAM003,287
Bacillus~phage~CP-51,221
Bacillus~phage~CampHawk,233
Bacillus~phage~Carmen17,51
Bacillus~phage~Claudi,46
Bacillus~phage~DIGNKC,291
Bacillus~phage~DK1,49
Bacillus~phage~DK2,45
Bacillus~phage~DK3,46
Bacillus~phage~Deep~Blue,226
Bacillus~phage~Deep-Purple,40
Bacillus~phage~DirtyBetty,302
Bacillus~phage~Eldridge,238
Bacillus~phage~Evoli,294
Bacillus~phage~Eyuki,300
Bacillus~phage~Fah,50
Bacillus~phage~Gamma,53
Bacillus~phage~Grass,252
Bacillus~phage~Gxv1,34
Bacillus~phage~Hakuna,294
Bacillus~phage~Harambe,33
Bacillus~phage~Hoody~T,270
Bacillus~phage~JBP901,201
Bacillus~phage~JL,218
Bacillus~phage~Juan,34
Bacillus~phage~Karezi,34
Bacillus~phage~Kida,304
Bacillus~phage~KonjoTrouble,40
Bacillus~phage~MG-B1,42
Bacillus~phage~Mater,241
Bacillus~phage~Megatron,290
Bacillus~phage~Mgbh1,80
Bacillus~phage~Moonbeam,237
Bacillus~phage~Nemo,301
Bacillus~phage~Nf,27
Bacillus~phage~Nigalana,302
Bacillus~phage~NotTheCreek,296
Bacillus~phage~PBC1,50
Bacillus~phage~Page,50
Bacillus~phage~Palmer,50
Bacillus~phage~Pascal,50
Bacillus~phage~Pavlov,50
Bacillus~phage~PfEFR-4,67
Bacillus~phage~PfEFR-5,68
Bacillus~phage~Phrodo,288
Bacillus~phage~Pony,48
Bacillus~phage~Pookie,52
Bacillus~phage~Riley,290
Bacillus~phage~SageFayge,300
Bacillus~phage~SalinJah,292
Bacillus~phage~SerPounce,44
Bacillus~phage~Shanette,220
Bacillus~phage~Shbh1,177
Bacillus~phage~Slash,111
Bacillus~phage~Spock,283
Bacillus~phage~Stahl,110
Bacillus~phage~Staley,113
Bacillus~phage~Stills,110
Bacillus~phage~Stitch,36
Bacillus~phage~TP21-L,56
Bacillus~phage~Troll,289
Bacillus~phage~TsarBomba,247
Bacillus~phage~VMY22,25
Bacillus~phage~W.Ph.,274
Bacillus~phage~Waukesha92,72
Bacillus~phage~Wes44,54
Bacillus~phage~Zuko,294
Bacillus~phage~phIS3501,51
Bacillus~phage~phi105,103
Bacillus~phage~phi4B1,56
Bacillus~phage~phi4J1,67
Bacillus~phage~phiAGATE,210
Bacillus~phage~phiCM3,56
Bacillus~phage~vB_BanS-Tsamsa,272
Bacillus~phage~vB_BceS-MY192,64
Bacillus~phage~vB_BhaS-171,67
Bacillus~phage~vB_BmeM-Goe8,246
Bacillus~phage~vB_Bpu_PumA1,26
Bacillus~phage~vB_Bpu_PumA2,28
Bacillus~phage~vB_BsuM-Goe3,246
Bacillus~phage~vB_BsuP-Goe1,24
Bacillus~phage~vB_BtS_B83,71
Bacillus~phage~vB_BtS_BMBtp14,75
Bacillus~phage~vB_BtS_BMBtp3,76
Bacillus~phage~vB_BthP-Goe4,43
Bacillus~phage~vB_BveP-Goe6,26
Bacillus~virus~1,54
Bacillus~virus~BM15,266
Bacillus~virus~PBS1,311
Bacillus~virus~SRT01hs,31
Bacteriophage~APSE-2,41
Bacteriophage~R18C,44
Bacteriophage~T5-like~chee24,166
Bacteriophage~T5-like~saus132,164
Bacteriophage~vB_NpeS-2AV2,182
Bacteroides~phage~B124-14,68
Bacteroides~phage~B40-8,46
Bdellovibrio~phage~phi1422,76
Bifidobacterium~phage~BadAargau2,23
Bifidobacterium~phage~BadAztec1,23
Bordetella~phage~CN1,79
Bordetella~phage~CN2,81
Bordetella~phage~FP1,80
Bordetella~phage~MW2,80
Bordetella~phage~vB_BbrM_PHB04,124
Brevibacillus~phage~Abouo,94
Brevibacillus~phage~Davies,94
Brevibacillus~phage~Jenst,178
Brevibacillus~phage~Jimmer1,103
Brevibacillus~phage~Jimmer2,103
Brevibacillus~phage~Osiris,103
Brevibacillus~phage~Sundance,194
Brevibacterium~phage~LuckyBarnes,67
Brochothrix~phage~A9,199
Brochothrix~phage~BL3,67
Brochothrix~phage~NF5,58
Brucella~phage~BiPBO1,86
Brucella~phage~Pr,57
Brucella~phage~Tb,58
Burkholderia~phage~Bcep176,81
Burkholderia~phage~BcepGomr,76
Burkholderia~phage~BcepNazgul,73
Burkholderia~phage~BcepSaruman,445
Burkholderia~phage~BcepSauron,446
Burkholderia~phage~JG068,49
Burkholderia~phage~KL3,52
Burkholderia~phage~KS10,49
Burkholderia~phage~KS14,44
Burkholderia~phage~KS5,46
Burkholderia~phage~KS9,50
Burkholderia~phage~ST79,49
Burkholderia~phage~vB_BceM_AP3,51
Burkholderia~phage~vB_BmuP_KL4,65
Butyrivibrio~virus~Arawn,50
Campylobacter~phage~CP30A,162
Campylobacter~phage~PC14,171
Campylobacter~phage~vB_CjeM_Los1,169
Caulobacter~phage~CcrBL10,335
Caulobacter~phage~CcrBL9,558
Caulobacter~phage~CcrColossus,452
Caulobacter~phage~CcrPW,485
Caulobacter~phage~CcrSC,546
Caulobacter~phage~Cr30,286
Caulobacter~phage~Lullwater,52
Caulobacter~phage~Percy,55
Caulobacter~phage~Seuss,120
Celeribacter~phage~P12053L,56
Cellulophaga~phage~phi10:1,106
Cellulophaga~phage~phi12:1,64
Cellulophaga~phage~phi13:2,127
Cellulophaga~phage~phi17:1,65
Cellulophaga~phage~phi18:1,65
Cellulophaga~phage~phi18:3,123
Cellulophaga~phage~phi19:1,114
Cellulophaga~phage~phi19:3,129
Cellulophaga~phage~phi38:1,101
Cellulophaga~phage~phi46:3,121
Citrobacter~phage~CF1~DK-2017,87
Citrobacter~phage~CF1~ERZ-2017,306
Citrobacter~phage~CVT22,83
Citrobacter~phage~IME-CF2,263
Citrobacter~phage~Margaery,280
Citrobacter~phage~Merlin,303
Citrobacter~phage~Michonne,143
Citrobacter~phage~Miller,277
Citrobacter~phage~Moogle,126
Citrobacter~phage~Moon,298
Citrobacter~phage~Mordin,138
Citrobacter~phage~SH1,53
Citrobacter~phage~SH2,53
Citrobacter~phage~SH3,49
Citrobacter~phage~SH4,49
Citrobacter~phage~Sazh,87
Citrobacter~phage~phiCFP-1,43
Citrobacter~phage~vB_CfrM_CfP1,273
Citrobacter~phage~vB_CroP_CrRp3,53
Citrobacter~virus~Stevie,90
Clavibacter~phage~CMP1,74
